Biere;;;
;;;
Export - Biere 0,5 Liter ;Anzahl/Ltr. ;Preis ;Pfand
Schweppes Indian Tonic Water ;24 x 0,2 lt ;16,95;3,90
Schweppes Original Bitter Lemon ;6 x 1,0 lt ;11,45;2,40
Schweppes Original Bitter Lemon ;24 x 0,2 lt ;16,95;3,90
Tönissteiner Pink Grape Iso Sport Pet ;12 x 0,75 lt ;12,50;3,30
Wiesentaler Isosport Pet ;20 x 0,5 lt ;12,25;6,50
Wiesentaler Lemon ;12 x 0,7 lt ;6,75;3,30
  ;  ;  ; 
Säfte und Nektare 0,2 Liter ;Anzahlt/Ltr ;Preis ;Pfand
Neu´s Apfelsaft ;12 x 0,2 lt ;7,95;3,30
Neu´s Orangensaft ;12 x 0,2 lt ;7,95;3,30
Neu´s Traubensaft Rot ;12 x 0,2 lt ;7,95;3,30
Neu´s Traubensaft Weiß ;12 x 0,2 lt ;7,95;3,30
Neu´s Multivitamin-Mehrfruchtsaft ;12 x 0,2 lt ;7,95;3,30
Neu´s Sauerkirsch-Nektar ;12 x 0,2 lt ;7,95;3,30
Neu´s Johannisbeer-Nektar Schwarz ;12 x 0,2 lt ;7,95;3,30
  ;  ;  ; 
  ;  ;  ; 
Säfte und Nektare 1,0 Liter ;Anzahl/Ltr ;Preis ;Pfand
Frutta Apfelsaft klar ;6 x 1,0 lt ;9,45;2,40
Primafrucht Orangensaft ;6 x 1,0 lt ;10,25;2,40
Neu´s Apfelsaft klar ;6 x 1,0 lt ;10,95;2,40
Neu´s Apfelsaft naturtrüb ;6 x 1,0 lt ;10,95;2,40
Neu´s Orangensaft ;6 x 1,0 lt ;11,45;2,40
Neu´s Multivitaminsaft-Mehrfruchtsaft ;6 x 1,0 lt ;11,45;2,40
Neu´s Grapefruitsaft ;6 x 1,0 lt ;13,25;2,40
Neu´s Sauerkirsch Nektar ;6 x 1,0 lt ;13,25;2,40
Neu´s Johannisbeer Nektar Schwarz ;6 x 1,0 lt ;13,25;2,40
Neu´s Traubensaft Rot ;6 x 1,0 lt ;13,25;2,40
Neu´s Traubensaft Weiß ;6 x 1,0 lt ;13,25;2,40
Neu´s Bananen-Nektar ;6 x 1,0 lt ;13,25;2,40
Neu´s Maracuja-Nektar ;6 x 1,0 lt ;13,25;2,40
Rapp´s Kirsche süß ;6 x 1,0 lt ;13,25;2,40
Rapp´s Bio Apfel Direktsaft klar ;6 x 1,0 lt ;14,95;2,40
Rapp´s Premium Orangensaft ;6 x 1,0 lt ;13,95;2,40
  ;  ;  ; 
Apfelwein 1,0 Liter ;Anzahl/Ltr ;Preis ;Pfand
Alter Hochstädter Speyerling Apfelwein ;6 x 1,0 lt ;10,95;2,40
Müller Odenwald Goldernte Apfelwein ;6 x 1,0 lt ;10,95;2,40
Possmann Frankfurter Apfelwein ;6 x 1,0 lt ;11,95;2,40
  ;  ;  ; 
Alkoholfreier Apfelwein ;Anzahl/Ltr ;Preis ;Pfand
Rapp´s Nr.1 Apfelwein alkoholfrei ;6 x 1,0 lt ;11,95;2,40
 ;;;
